date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
2008-06-30,1.5709,1.3520,1.0955,1.0781,1.2555,1.5934,1.3166,0.9416,1.1040,0.8060,2.4707,1.0085,2.4295,0.3261,1.4416,0.9511,1.7291,1.3614,1.0800,1.0268,0.9001,1.3813,1.4238,1.5862,1.5037,0.5761,0.9902,0
2008-09-30,0.3359,0.1848,-0.2150,0.1698,0.2293,-0.8815,0.1543,0.3710,0.0701,0.1477,0.3973,0.0282,-0.1654,-0.1483,0.6385,0.0781,-0.4617,0.2217,0.7139,0.0156,0.4399,0.5859,1.0032,0.7934,1.4193,0.2848,0.3845,0
2008-12-31,-3.1684,-3.8698,-3.2626,-2.4887,-2.2244,-2.9630,-3.0945,-2.9513,-4.2941,-2.2041,-4.4618,-3.0293,-4.6850,-3.4234,-2.7799,-3.3048,-4.7664,-3.5135,-1.9574,-3.7467,-3.1850,-3.6634,-1.6415,-1.9533,-3.0279,-2.1545,-2.8891,1
2009-03-31,-1.5194,-2.6994,-2.5403,-1.5524,-0.9736,-1.8684,-1.8694,-1.8542,-2.6659,-1.0483,-4.8807,-1.9820,-4.7771,-2.1487,-1.6430,-2.4517,-2.6807,-2.6388,-0.4161,-2.5274,-1.7544,-1.1574,0.0597,-0.0265,-1.1391,-1.4935,-1.5730,1
2009-06-30,0.2129,0.8325,0.0629,0.0939,0.4177,0.5543,0.0471,0.5816,0.1118,0.4142,-0.5704,0.5512,-0.5327,0.8958,-0.2926,0.2134,0.7615,-0.2985,0.9959,0.3030,0.6668,0.4999,1.4564,1.6111,1.2940,0.4499,0.5494,1
2009-09-30,0.5395,2.1879,0.9156,0.9940,0.9050,0.9489,1.0900,1.9107,0.8002,1.1421,1.2865,1.5418,0.7597,1.6637,1.5760,1.2167,2.5660,0.9513,1.2128,1.4185,1.7692,1.1738,2.0786,1.7315,3.0731,1.2443,1.3683,1
2009-12-31,-0.0705,1.9183,1.0695,0.5598,0.4818,0.3549,0.3797,0.7113,0.2970,0.2887,0.3599,1.5273,-0.2049,1.8843,1.0668,0.7540,2.2680,0.3766,0.3432,1.2025,0.2438,-0.7117,1.1279,0.6428,2.4508,0.0619,0.5355,0
2010-03-31,0.4928,2.4918,1.5333,1.0230,0.7689,0.6188,0.7981,1.0165,0.8185,1.0128,0.6125,2.0244,0.4077,2.5201,2.7648,1.1241,2.9279,1.1980,0.2872,1.5491,0.4727,0.2353,0.9401,0.6634,2.6508,0.5356,0.9134,0
2010-06-30,0.3238,1.8461,1.1605,0.7304,0.5522,1.2871,0.7310,0.5407,0.4291,0.7274,0.6291,1.5059,1.1791,1.7991,1.4813,0.9274,2.1471,0.6231,-0.0089,1.3643,0.4149,0.0814,0.8971,0.3495,1.3744,0.2523,0.6719,0
2010-09-30,0.5491,1.3985,1.0838,0.5398,0.7485,1.4980,0.7038,0.1066,0.7651,0.5194,1.2631,0.9623,1.9912,1.2778,1.3184,0.8939,1.3103,0.6405,-0.0169,1.1397,0.3076,0.3037,0.7637,0.4953,1.2628,0.0785,0.5002,0
2010-12-31,1.0531,0.9969,0.6349,0.5333,0.7428,2.8439,0.8634,0.4450,1.0120,0.7734,0.5671,0.4728,1.9310,0.5134,0.4311,0.9293,1.1464,0.6513,0.0836,1.0450,0.9944,1.3187,1.1285,0.7618,0.2451,0.6544,0.8997,0
2011-03-31,1.2292,0.1269,0.6177,0.1399,1.0492,3.1248,0.6287,-0.2831,0.8115,0.3353,1.3466,0.0097,3.0221,0.0476,-0.2696,0.6983,1.0839,0.1985,-0.3463,0.7635,0.6221,1.6883,0.6315,0.6757,-0.3678,0.1493,0.6165,0
2011-06-30,1.0256,0.4093,0.4976,0.3672,0.8057,2.8405,0.7392,0.1243,0.7987,0.4424,0.9421,0.2385,2.2948,0.0285,0.6314,0.5422,1.0444,0.4525,0.2067,0.9795,0.6764,1.2822,1.0449,0.5019,0.4553,0.3181,0.6385,0
2011-09-30,-0.0205,-0.4597,-0.3283,-0.3836,-0.3109,0.7151,-0.3388,-0.5354,-0.2958,-0.1221,-0.4936,-0.4810,0.7123,-0.2113,-0.2072,-0.7231,-0.3249,-0.4361,-0.4242,-0.0702,-0.4971,0.0626,-0.0844,-0.3351,-0.7913,-0.1989,-0.3063,0
